rank,brand,description,price,grade,number of comments,link,review link
#1,Seagate,"Seagate Portable 2TB External Hard Drive HDD — USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)",$69.96,4.6 out of 5 stars,"262,858",https://www.amazon.com/Seagate-Portable-External-Hard-Drive/dp/B07CRG94G3/ref=zg_bs_g_1292110011_d_sccl_1/130-1353609-7634308?psc=1,https://www.amazon.com/product-reviews/B07CRG94G3/ref=zg_bs_g_1292110011_d_sccl_1_cr/130-1353609-7634308
#2,SanDisk,"SanDisk 128GB Ultra Flair USB 3.0 Flash Drive - SDCZ73-128G-G46, black",$11.99,4.6 out of 5 stars,"183,731",https://www.amazon.com/SanDisk-Ultra-Flair-128GB-Flash/dp/B015CH1PJU/ref=zg_bs_g_1292110011_d_sccl_2/130-1353609-7634308?psc=1,https://www.amazon.com/product-reviews/B015CH1PJU/ref=zg_bs_g_1292110011_d_sccl_2_cr/130-1353609-7634308
#3,SAMSUNG,"SAMSUNG 990 PRO SSD NVMe M.2 PCIe Gen4, M.2 2280 Internal Solid State Hard Drive, Seq. Read Speeds Up to 7,450 MB/s for High End Computing, Gaming, and Heavy Duty Workstations, MZ-V9P2T0B/AM",$179.99,4.8 out of 5 stars,"10,572",https://www.amazon.com/SAMSUNG-Internal-Expansion-MZ-V9P2T0B-AM/dp/B0BHJJ9Y77/ref=zg_bs_g_1292110011_d_sccl_3/130-1353609-7634308?psc=1,https://www.amazon.com/product-reviews/B0BHJJ9Y77/ref=zg_bs_g_1292110011_d_sccl_3_cr/130-1353609-7634308
#4,Amazon,"Amazon Basics 128 GB Ultra Fast USB 3.1 Flash Drive, Black",$15.67,4.6 out of 5 stars,"20,259",https://www.amazon.com/Amazon-Basics-128GB-Ultra-Flash/dp/B0B6148YKN/ref=zg_bs_g_1292110011_d_sccl_4/130-1353609-7634308?psc=1,https://www.amazon.com/product-reviews/B0B6148YKN/ref=zg_bs_g_1292110011_d_sccl_4_cr/130-1353609-7634308
#5,SAMSUNG,"SAMSUNG T7 Portable SSD, 1TB External Solid State Drive, Speeds Up to 1,050MB/s, USB 3.2 Gen 2, Reliable Storage for Gaming, Students, Professionals, MU-PC1T0T/AM, Gray",$89.64,4.8 out of 5 stars,"33,674",https://www.amazon.com/SAMSUNG-Portable-SSD-1TB-MU-PC1T0T/dp/B0874XN4D8/ref=zg_bs_g_1292110011_d_sccl_5/130-1353609-7634308?psc=1,https://www.amazon.com/product-reviews/B0874XN4D8/ref=zg_bs_g_1292110011_d_sccl_5_cr/130-1353609-7634308
#6,SanDisk,"SanDisk 2TB Extreme Portable SSD - Up to 1050MB/s, USB-C, USB 3.2 Gen 2, IP65 Water and Dust Resistance, Updated Firmware - External Solid State Drive - SDSSDE61-2T00-G25",$148.74,4.6 out of 5 stars,"71,187",https://www.amazon.com/SanDisk-2TB-Extreme-Portable-SDSSDE61-2T00-G25/dp/B08HN37XC1/ref=zg_bs_g_1292110011_d_sccl_6/130-1353609-7634308?psc=1,https://www.amazon.com/product-reviews/B08HN37XC1/ref=zg_bs_g_1292110011_d_sccl_6_cr/130-1353609-7634308
#7,N/A,2 Pack 64GB USB Flash Drive USB 2.0 Thumb Drives Jump Drive Fold Storage Memory Stick Swivel Design - Black,$8.99,4.5 out of 5 stars,"4,073",https://www.amazon.com/Drives-Storage-Memory-Swivel-Design/dp/B07XSGNQ2X/ref=zg_bs_g_1292110011_d_sccl_7/130-1353609-7634308?psc=1,https://www.amazon.com/product-reviews/B07XSGNQ2X/ref=zg_bs_g_1292110011_d_sccl_7_cr/130-1353609-7634308
#8,SanDisk,"SanDisk 512GB Ultra USB 3.0 Flash Drive - SDCZ48-512G-G46, Black",$29.99,4.7 out of 5 stars,"42,554",https://www.amazon.com/SanDisk-512GB-Ultra-Flash-Drive/dp/B083ZLJ5MG/ref=zg_bs_g_1292110011_d_sccl_8/130-1353609-7634308?psc=1,https://www.amazon.com/product-reviews/B083ZLJ5MG/ref=zg_bs_g_1292110011_d_sccl_8_cr/130-1353609-7634308
#9,Seagate,"Seagate Portable 5TB External Hard Drive HDD – USB 3.0 for PC, Mac, PS4, & Xbox - 1-Year Rescue Service (STGX5000400), Black",$119.99,4.6 out of 5 stars,"262,858",https://www.amazon.com/Seagate-Portable-External-Hard-Drive/dp/B07VS8QCXC/ref=zg_bs_g_1292110011_d_sccl_9/130-1353609-7634308?psc=1,https://www.amazon.com/product-reviews/B07VS8QCXC/ref=zg_bs_g_1292110011_d_sccl_9_cr/130-1353609-7634308
#10,SanDisk,"SanDisk 1TB Extreme Portable SSD - Up to 1050MB/s, USB-C, USB 3.2 Gen 2, IP65 Water and Dust Resistance, Updated Firmware - External Solid State Drive - SDSSDE61-1T00-G25",$89.99,4.6 out of 5 stars,"71,183",https://www.amazon.com/SanDisk-1TB-Extreme-Portable-SDSSDE61-1T00-G25/dp/B08GTYFC37/ref=zg_bs_g_1292110011_d_sccl_10/130-1353609-7634308?psc=1,https://www.amazon.com/product-reviews/B08GTYFC37/ref=zg_bs_g_1292110011_d_sccl_10_cr/130-1353609-7634308
